id,nombre_direccion,comuna_id
1006,Grand Avenue 3499,3
1007,Avda. Laguna Sur 7297,9
1008,Andover Court 4195,9
1009,CompaÃ±Ã­a de JesÃºs NÂ°1625,0
1010,Broad Street 3922,6
1011,Front Street North 3262,0
1012,Heather Lane 4899,2
1013,Clay Street 4445,4
1014,Essex Court 3964,5
1015,Av. Manuel Antonio Matta 1704,9
1016,Av. Macul 6309,4
1017,Orchard Avenue 3645,3
1018,Williams Street 1075,2
1019,Franklin Court 1506,5
1020,Andover Court 4130,5
1021,Willow Avenue 1302,0
1022,Charles Street 4581,1
1023,Willow Avenue 2919,8
1024,Woodland Drive 4567,0
1025,Warren Avenue 2906,8
1026,Essex Court 3042,3
1027,Rose Street 924,8
1028,Briarwood Drive 1977,1
1029,Country Club Road 4802,1
1030,Front Street North 2761,5
1031,Front Street North 1593,4
1032,Windsor Drive 3637,5
1033,Williams Street 2504,1
1034,King Street 2579,0
1035,Franklin Avenue 1555,4
1036,Country Club Road 1435,1
1037,Route 1 4389,0
1038,Pleasant Street 807,9
1039,Andover Court 3456,7
1040,Laurel Drive 2803,5
1041,Willow Avenue 4071,4
1042,King Street 4035,0
1043,Pleasant Street 3890,3
1044,White Street 1153,3
1045,Cedar Lane 4827,9
1046,Linden Avenue 2370,0
1047,Atlantic Avenue 4346,4
1048,Linden Avenue 264,8
1049,Laurel Drive 4110,1
1050,Main Street 2473,9
1051,Avda. Americo Vespucio 1775,3
1052,Av. Einstein 601,4
1053,Route 1 474,8
1054,Essex Court 565,8
1055,Olive Street 3159,4
1056,Linden Avenue 928,3
1057,Pleasant Street 141,1
1058,Linden Avenue 3864,7
1059,Pleasant Street 1866,8
1060,Av. Tobalaba 117,3
1061,River Street 1261,8
1062,Fairway Drive 3306,9
1063,Laurel Lane 782,1
1064,Country Club Road 2692,2
1065,Hanover Court 330,8
1066,Ann Street 2086,4
1067,Front Street North 361,9
1068,Briarwood Drive 1206,3
1069,Ann Street 3644,8
1070,Front Street North 3479,2
1071,Devon Court 1277,7
1072,King Street 4660,0
1073,Francisco Bilbao 084,9
1074,Warren Avenue 4898,8
1075,Monroe Street 1071,9
1076,Route 1 3510,4
1077,Franklin Court 3640,6
1078,Andover Court 649,3
1079,Av. Providencia 1337,5
1080,Laurel Drive 1156,9
1081,Highland Drive 1213,9
1082,River Street 2176,9
1083,Woodland Drive 2729,9
1084,Maiden Lane 3379,9
1085,Andover Court 4646,9
1086,Clay Street 2044,8
1087,Andover Court 4184,9
1088,Route 1 3950,4
1089,Warren Avenue 3568,9
1090,Fairway Drive 621,1
1091,Atlantic Avenue 673,4
1092,John Street 4343,7
1093,Briarwood Drive 4938,2
1094,Grand Avenue 3479,7
1095,Front Street North 4989,8
1096,Warren Avenue 213,8
1097,Av. VicuÃ±a Mackenna 2601,4
